"RouteUID","RouteID","RouteName","SubRouteUID","SubRouteID","SubRouteName","Direction","StopUID","StopID","StopName","StopBoarding","StopSequence","PositionLon","PositionLat","StationID","LocationCityCode"
"HSZ0007","0007","81","HSZ000702","000702","81",1,"HSZ303842","303842","<U+4E0B><U+8DEF><U+5317>",0,14,120.987838,24.781686,"138792","HSZ"
"HSZ0007","0007","81","HSZ000702","000702","81",1,"HSZ303843","303843","<U+9AD8><U+7FE0>",0,15,120.986999,24.780284,"138793","HSZ"
"HSZ0007","0007","81","HSZ000702","000702","81",1,"HSZ303844","303844","<U+7AF9><U+6CF0><U+793E><U+5340>",0,16,120.985469,24.778966,"138794","HSZ"
"HSZ0007","0007","81","HSZ000702","000702","81",1,"HSZ303845","303845","<U+9AD8><U+5CF0>",0,17,120.983096,24.777612,"138795","HSZ"
"HSZ0007","0007","81","HSZ000702","000702","81",1,"HSZ303846","303846","<U+571F><U+96DE><U+57CE>",0,18,120.98222,24.778569,"138796","HSZ"
"HSZ0007","0007","81","HSZ000702","000702","81",1,"HSZ303847","303847","<U+9752><U+5CF0><U+8DEF><U+53E3>",0,19,120.981485,24.779665,"138797","HSZ"
"HSZ0007","0007","81","HSZ000702","000702","81",1,"HSZ303809","303809","<U+53E4><U+5947><U+5CF0>",-1,20,120.979719,24.778906,"132232","HSZ"
"HSZ0008","0008","83","HSZ000801","000801","83",0,"HSZ303612","303612","<U+6210><U+5FB7><U+8DEF>",1,1,120.957985,24.794162,"136360","HSZ"
"HSZ0008","0008","83","HSZ000801","000801","83",0,"HSZ303610","303610","<U+6E05><U+5927><U+5357><U+5927><U+6821><U+5340>",0,2,120.963513,24.793652,"132730","HSZ"
"HSZ0008","0008","83","HSZ000801","000801","83",0,"HSZ303608","303608","<U+65B0><U+7AF9><U+570B><U+5C0F>",0,3,120.967032,24.795882,"132731","HSZ"
"HSZ0008","0008","83","HSZ000801","000801","83",0,"HSZ303606","303606","<U+897F><U+5927><U+8DEF><U+53E3>",0,4,120.968616,24.79686,"132732","HSZ"
"HSZ0008","0008","83","HSZ000801","000801","83",0,"HSZ303604","303604","<U+7AF9><U+84EE><U+8857>",0,5,120.969482,24.797392,"132733","HSZ"
"HSZ0008","0008","83","HSZ000801","000801","83",0,"HSZ303602","303602","<U+6771><U+5357><U+8857><U+53E3>",0,6,120.972663,24.799345,"132734","HSZ"
"HSZ0008","0008","83","HSZ000801","000801","83",0,"HSZ303600","303600","<U+8B66><U+5BDF><U+5BBF><U+820D>",0,7,120.974472,24.800468,"132735","HSZ"
"HSZ0008","0008","83","HSZ000801","000801","83",0,"HSZ303598","303598","<U+65B0><U+7AF9><U+8F49><U+904B><U+7AD9>",0,8,120.9731062,24.80097212,"137273","HSZ"
"HSZ0008","0008","83","HSZ000801","000801","83",0,"HSZ303596","303596","<U+5B78><U+5712><U+5546><U+5834>",0,9,120.977805,24.798576,"130199","HSZ"
"HSZ0008","0008","83","HSZ000801","000801","83",0,"HSZ303594","303594","<U+5EFA><U+83EF><U+570B><U+4E2D>",0,10,120.976226,24.794329,"130559","HSZ"
"HSZ0008","0008","83","HSZ000801","000801","83",0,"HSZ303592","303592","<U+4ECB><U+58FD><U+5C71><U+53E3>",0,11,120.975476,24.792084,"130530","HSZ"
