"Airport_O","Airport_D","Airline","Flight_Total","Seat_Total","Patronage_Total","LoadFactor_Total","Flight_Arrival","Seat_Arrival","Patronage_Arrival","LoadFactor_Arrival","Flight_Departure","Seat_Departure","Patronage_Departure","LoadFactor_Departure"
"高雄國際機場","曼谷廊曼","泰亞洲",62,11196,8181,73.1,31,5598,3958,70.7,31,5598,4223,75.4
"高雄國際機場","新加坡","中華",26,4108,3659,89.1,13,2054,1760,85.7,13,2054,1899,92.5
"高雄國際機場","福岡","長榮",44,8096,7639,94.4,22,4048,4048,100,22,4048,3591,88.7
"高雄國際機場","福岡","台灣虎航",18,3240,3191,98.5,9,1620,1610,99.4,9,1620,1581,97.6
"高雄國際機場","澳門","長榮",62,11408,8261,72.4,31,5704,4425,77.6,31,5704,3836,67.3
"高雄國際機場","澳門","台灣虎航",28,5040,4176,82.9,14,2520,2003,79.5,14,2520,2173,86.2
"高雄國際機場","澳門","澳門",124,24260,15402,63.5,62,12128,8169,67.4,62,12132,7233,59.6
"高雄國際機場","富國島","越竹",3,669,521,77.9,1,223,185,83,2,446,336,75.3
"高雄國際機場","富國島","越捷",36,7360,3588,48.8,18,3680,1967,53.5,18,3680,1621,44
"高雄國際機場","富國島","台灣虎航",26,4680,3688,78.8,13,2340,1752,74.9,13,2340,1936,82.7
"高雄國際機場","峴港","越竹",12,2676,1925,71.9,6,1338,957,71.5,6,1338,968,72.3
"高雄國際機場","峴港","台灣虎航",62,10980,9492,86.4,31,5400,4864,90.1,31,5580,4628,82.9
"高雄國際機場","岡山","台灣虎航",27,4860,4582,94.3,14,2520,2427,96.3,13,2340,2155,92.1
"高雄國際機場","上海浦東","中華",46,7268,5604,77.1,23,3634,2927,80.5,23,3634,2677,73.7
"高雄國際機場","上海浦東","長榮",46,8464,5687,67.2,23,4232,3079,72.8,23,4232,2608,61.6
"高雄國際機場","上海浦東","吉祥",26,5148,2736,53.1,13,2574,1171,45.5,13,2574,1565,60.8
"高雄國際機場","南京","東方",26,4056,2384,58.8,13,2028,1111,54.8,13,2028,1273,62.8
"高雄國際機場","福州","廈門",8,1352,1019,75.4,4,676,490,72.5,4,676,529,78.3
"高雄國際機場","武漢","南方",28,4956,2835,57.2,14,2478,1358,54.8,14,2478,1477,59.6
"高雄國際機場","武漢","東方",18,2790,1472,52.8,9,1395,647,46.4,9,1395,825,59.1
"高雄國際機場","廈門","華信",26,4108,2250,54.8,13,2054,1050,51.1,13,2054,1200,58.4
"高雄國際機場","廈門","廈門",10,1690,1192,70.5,5,845,780,92.3,5,845,412,48.8
"高雄國際機場","深圳","中華",18,2844,2109,74.2,9,1422,1091,76.7,9,1422,1018,71.6
"臺北松山國際機場","首爾金浦","德威",36,6804,6583,96.8,18,3402,3300,97,18,3402,3283,96.5
"臺北松山國際機場","首爾金浦","易斯達",26,4914,4770,97.1,13,2457,2385,97.1,13,2457,2385,97.1
"臺北松山國際機場","首爾金浦","中華",28,4508,4243,94.1,14,2254,2130,94.5,14,2254,2113,93.7
"臺北松山國際機場","首爾金浦","長榮",34,6256,5861,93.7,17,3128,3067,98,17,3128,2794,89.3
"臺北松山國際機場","東京羽田","中華",124,38068,35771,94,62,19034,18140,95.3,62,19034,17631,92.6
"臺北松山國際機場","東京羽田","長榮",124,42408,40256,94.9,62,21204,21003,99.1,62,21204,19253,90.8
"臺北松山國際機場","東京羽田","日本",124,27390,26696,97.5,62,13696,13365,97.6,62,13694,13331,97.3
"臺北松山國際機場","東京羽田","全日空",123,29262,27142,92.8,62,14751,13938,94.5,61,14511,13204,91
"臺北松山國際機場","上海浦東","立榮",28,5152,1909,37.1,14,2576,698,27.1,14,2576,1211,47
"臺北松山國際機場","上海浦東","上海",88,15032,10764,71.6,44,7516,5684,75.6,44,7516,5080,67.6
"臺北松山國際機場","上海虹橋","中華",54,16578,14015,84.5,27,8289,6893,83.2,27,8289,7122,85.9
"臺北松山國際機場","上海虹橋","長榮",52,17784,12320,69.3,26,8892,6513,73.2,26,8892,5807,65.3
"臺北松山國際機場","上海虹橋","國航",34,10574,6463,61.1,17,5287,3111,58.8,17,5287,3352,63.4
"臺北松山國際機場","上海虹橋","上海",28,4916,3446,70.1,14,2458,1853,75.4,14,2458,1593,64.8
"臺北松山國際機場","上海虹橋","東方",62,18312,12826,70,31,9156,6799,74.3,31,9156,6027,65.8
"臺北松山國際機場","福州","華信",26,4186,2500,59.7,13,2093,1253,59.9,13,2093,1247,59.6
"臺北松山國際機場","福州","廈門",54,9240,6855,74.2,27,4620,4287,92.8,27,4620,2568,55.6
"臺北松山國際機場","武漢","華信",16,2576,1160,45,8,1288,671,52.1,8,1288,489,38
"臺北松山國際機場","成都天府","四川",36,8538,5643,66.1,18,4269,3026,70.9,18,4269,2617,61.3
"臺北松山國際機場","廈門","立榮",26,4784,2869,60,13,2392,1472,61.5,13,2392,1397,58.4
"臺北松山國際機場","廈門","廈門",62,10528,9308,88.4,31,5264,5091,96.7,31,5264,4217,80.1
"臺北松山國際機場","重慶","國航",8,1336,951,71.2,4,668,529,79.2,4,668,422,63.2
"臺北松山國際機場","重慶","四川",26,5044,4164,82.6,13,2522,2217,87.9,13,2522,1947,77.2
"臺中國際機場","河內","越捷",62,12760,8985,70.4,31,6380,4159,65.2,31,6380,4826,75.6
"臺中國際機場","胡志明市","華信",62,9796,7358,75.1,31,4898,3702,75.6,31,4898,3656,74.6
"臺中國際機場","胡志明市","越捷",36,8180,6144,75.1,18,4090,3026,74,18,4090,3118,76.2
"臺中國際機場","香港","香港",52,8388,6999,83.4,26,4194,3744,89.3,26,4194,3255,77.6
"臺中國際機場","香港","香港快運",186,39632,33036,83.4,93,19816,16459,83.1,93,19816,16577,83.7
"臺中國際機場","沖繩","星宇",36,6768,6059,89.5,18,3384,2922,86.3,18,3384,3137,92.7
