"RouteUID","RouteID","RouteName","SubRouteUID","SubRouteID","SubRouteName","Direction","BusRouteType","DepartureStopName","DestinationStopName","FirstBusTime","LastBusTime","HolidayFirstBusTime","HolidayLastBusTime"
"HSZ0230","0230","23","HSZ0230A2","0230A2","23<U+652F>A",1,11,"<U+7E3D><U+7AD9>","<U+7384><U+5958><U+5927><U+5B78>",NA,NA,NA,NA
"HSZ0270","0270","27","HSZ027001","027001","27",0,11,"<U+706B><U+8ECA><U+7AD9>","<U+706B><U+8ECA><U+7AD9>",NA,NA,NA,NA
"HSZ0310","0310","31","HSZ031001","031001","31",0,11,"<U+706B><U+8ECA><U+7AD9>","<U+79D1><U+5B78><U+4E8C><U+7AD9>",NA,NA,NA,NA
"HSZ0310","0310","31","HSZ031002","031002","31",1,11,"<U+706B><U+8ECA><U+7AD9>","<U+79D1><U+5B78><U+4E8C><U+7AD9>",NA,NA,NA,NA
"HSZ0500","0500","50","HSZ0500A1","0500A1","50A",0,11,"<U+9999><U+5C71><U+5340><U+516C><U+6240>","<U+9999><U+5C71><U+5340><U+516C><U+6240>",NA,NA,NA,NA
"HSZ0510","0510","51","HSZ0510A1","0510A1","51A",0,11,"<U+9999><U+5C71><U+5340><U+516C><U+6240>","<U+9999><U+5C71><U+5340><U+516C><U+6240>",NA,NA,NA,NA
"HSZ0520","0520","52","HSZ052001","052001","52",0,11,"<U+65B0><U+838A><U+8ECA><U+7AD9>","<U+65B0><U+838A><U+8ECA><U+7AD9>",NA,NA,NA,NA
"HSZ0520","0520","52","HSZ0520A1","0520A1","52<U+652F>A",0,11,"<U+65B0><U+838A><U+8ECA><U+7AD9>","<U+65B0><U+838A><U+8ECA><U+7AD9>",NA,NA,NA,NA
"HSZ0530","0530","53","HSZ053001","053001","53",0,11,"<U+65B0><U+838A><U+8ECA><U+7AD9>","<U+65B0><U+838A><U+8ECA><U+7AD9>",NA,NA,NA,NA
"HSZ0573","0573","<U+4E16><U+535A>3<U+865F>","HSZ057301","057301","<U+4E16><U+535A>3<U+865F>",0,11,"<U+5F8C><U+7AD9>(<U+516C><U+5712><U+8DEF><U+53E3>)","<U+5F8C><U+7AD9>(<U+516C><U+5712><U+8DEF><U+53E3>)",NA,NA,NA,NA
"HSZ0575","0575","<U+4E16><U+535A>5<U+865F>","HSZ057501","057501","<U+4E16><U+535A>5<U+865F>",0,11,"<U+8056><U+516C><U+5BAE>","<U+4E16><U+535A><U+53F0><U+7063><U+9928>",NA,NA,NA,NA
"HSZ0575","0575","<U+4E16><U+535A>5<U+865F>","HSZ057502","057502","<U+4E16><U+535A>5<U+865F>",1,11,"<U+8056><U+516C><U+5BAE>","<U+4E16><U+535A><U+53F0><U+7063><U+9928>",NA,NA,NA,NA
"HSZ0710","0710","71","HSZ0710A1","0710A1","71A",0,11,"<U+5317><U+65B0><U+7AF9><U+5F8C><U+7AD9>","<U+5317><U+65B0><U+7AF9><U+5F8C><U+7AD9>",NA,NA,NA,NA
"HSZ0720","0720","72","HSZ072001","072001","72",0,11,"<U+5317><U+65B0><U+7AF9><U+5F8C><U+7AD9>","<U+967D><U+660E><U+6E05><U+5883>",NA,NA,NA,NA
"HSZ0720","0720","72","HSZ072002","072002","72",1,11,"<U+5317><U+65B0><U+7AF9><U+5F8C><U+7AD9>","<U+967D><U+660E><U+6E05><U+5883>",NA,NA,NA,NA
"HSZ0730","0730","73","HSZ073001","073001","73",0,11,"<U+5317><U+65B0><U+7AF9><U+5F8C><U+7AD9>","<U+82B1><U+5712><U+65B0><U+57CE>",NA,NA,NA,NA
"HSZ0730","0730","73","HSZ073002","073002","73",1,11,"<U+5317><U+65B0><U+7AF9><U+5F8C><U+7AD9>","<U+82B1><U+5712><U+65B0><U+57CE>",NA,NA,NA,NA
"HSZ0739","0739","<U+7DA0><U+7DDA>","HSZ073901","073901","<U+7DA0><U+7DDA>",0,11,"<U+7D93><U+570B><U+8DEF><U+53E3>","<U+9999><U+5C71><U+8F49><U+904B><U+7AD9>",NA,NA,NA,NA
"HSZ0739","0739","<U+7DA0><U+7DDA>","HSZ073902","073902","<U+7DA0><U+7DDA>",1,11,"<U+7D93><U+570B><U+8DEF><U+53E3>","<U+9999><U+5C71><U+8F49><U+904B><U+7AD9>",NA,NA,NA,NA
"HSZ0743","0743","<U+85CD><U+7DDA>","HSZ074301","074301","<U+85CD><U+7DDA>",0,11,"<U+65B0><U+7AF9><U+5340><U+6F01><U+6703>","<U+7AF9><U+4E2D>",NA,NA,NA,NA
"HSZ0743","0743","<U+85CD><U+7DDA>","HSZ074302","074302","<U+85CD><U+7DDA>",1,11,"<U+65B0><U+7AF9><U+5340><U+6F01><U+6703>","<U+7AF9><U+4E2D>",NA,NA,NA,NA
