"RouteUID","RouteID","RouteName","SubRouteUID","SubRouteID","SubRouteName","Direction","BusRouteType","DepartureStopName","DestinationStopName","FirstBusTime","LastBusTime","HolidayFirstBusTime","HolidayLastBusTime"
"KEE0468","0468","R66","KEE046802","046802","R66",1,11,"望海巷","七堵火車站",NA,NA,NA,NA
"KEE0469","0469","R86","KEE046901","046901","R86",0,11,"幸福華城","七堵火車站",NA,NA,NA,NA
"KEE0469","0469","R86","KEE046902","046902","R86",1,11,"幸福華城","七堵火車站",NA,NA,NA,NA
"KEE0470","0470","R82","KEE047001","047001","R82",0,11,"國家新城","七堵火車站",NA,NA,NA,NA
"KEE0470","0470","R82","KEE047002","047002","R82",1,11,"國家新城","七堵火車站",NA,NA,NA,NA
"KEE0470","0470","R82","KEE0470A1","0470A1","R82A",0,11,"國家新城","七堵火車站",NA,NA,NA,NA
"KEE0470","0470","R82","KEE0470A2","0470A2","R82A",1,11,"國家新城","七堵火車站",NA,NA,NA,NA
"KEE0472","0472","T99","KEE047201","047201","T99",0,11,"臺鐵基隆站(旅遊服務中心)","臺鐵八斗子站(八斗子車站)",NA,NA,NA,NA
"KEE0472","0472","T99","KEE047202","047202","T99",1,11,"臺鐵基隆站(旅遊服務中心)","臺鐵八斗子站(八斗子車站)",NA,NA,NA,NA
"KEE0473","0473","601","KEE047301","047301","601",0,11,"四腳亭分站","四腳亭",NA,NA,NA,NA
"KEE0474","0474","602","KEE047401","047401","602",0,11,"暖暖分站(調度站)","威德廟",NA,NA,NA,NA
"KEE0475","0475","603","KEE047501","047501","603",0,11,"東安宮","暖東峽谷",NA,NA,NA,NA
"KEE0476","0476","603","KEE047601","047601","603",0,11,"基隆火車站(南站)","暖東峽谷",NA,NA,NA,NA
"KEE0477","0477","605","KEE047701","047701","605",0,11,"幸福華城","幸福華城",NA,NA,NA,NA
"KEE0478","0478","605","KEE047801","047801","605",0,11,"幸福華城","幸福華城",NA,NA,NA,NA
"KEE0479","0479","605","KEE047901","047901","605",0,11,"幸福華城","幸福華城",NA,NA,NA,NA
"KEE0480","0480","605","KEE048001","048001","605",0,11,"基隆火車站(南站)","幸福華城",NA,NA,NA,NA
"KEE0481","0481","605","KEE048101","048101","605",0,11,"幸福華城","基隆火車站(南站)",NA,NA,NA,NA
"KEE0482","0482","606","KEE048201","048201","606",0,11,"四腳亭","四腳亭",NA,NA,NA,NA
"KEE0482","0482","606","KEE0482A1","0482A1","606A",0,11,"四腳亭","四腳亭",NA,NA,NA,NA
"KEE0482","0482","606","KEE0482A2","0482A2","606A",1,11,"四腳亭","四腳亭",NA,NA,NA,NA
"KEE0482","0482","606","KEE0482B1","0482B1","606B",0,11,"四腳亭","四腳亭",NA,NA,NA,NA
"KEE0482","0482","606","KEE0482C1","0482C1","6064C",0,11,"四腳亭","四腳亭",NA,NA,NA,NA
"KEE0482","0482","606","KEE0482C2","0482C2","6066C",1,11,"四腳亭","四腳亭",NA,NA,NA,NA
"KEE0521","0521","304","KEE052101","052101","304",0,11,"聖安宮","太白莊",NA,NA,NA,NA
"KEE0521","0521","304","KEE0521A1","0521A1","304A",0,11,"聖安宮","太白莊",NA,NA,NA,NA
"KEE0523","0523","305","KEE052301","052301","305",0,11,"基隆火車站(南站)","太白莊",NA,NA,NA,NA
"KEE0523","0523","305","KEE0523A1","0523A1","305A",0,11,"基隆火車站(南站)","太白莊",NA,NA,NA,NA
"KEE0525","0525","306","KEE052501","052501","306",0,11,"基隆火車站(南站)","基隆火車站(南站)",NA,NA,NA,NA
"KEE0526","0526","307","KEE052601","052601","307",0,11,"基隆火車站(南站)","基隆火車站(南站)",NA,NA,NA,NA
"KEE0527","0527","308","KEE052701","052701","308",0,11,"基隆火車站(南站)","外木山漁港",NA,NA,NA,NA
"KEE0527","0527","308","KEE0527A1","0527A1","308A",0,11,"基隆火車站(南站)","外木山漁港",NA,NA,NA,NA
"KEE0929","0929","503","KEE092901","092901","503",0,11,"七堵分站","南七堵",NA,NA,NA,NA
"KEE0930","0930","503","KEE093001","093001","503",0,11,"七堵分站","南七堵",NA,NA,NA,NA
"KEE0931","0931","503","KEE093101","093101","503",0,11,"公車總站","南七堵",NA,NA,NA,NA
"KEE0932","0932","505","KEE093201","093201","505",0,11,"武隆街105巷","武隆街105巷",NA,NA,NA,NA
"KEE0933","0933","505","KEE093301","093301","505",0,11,"武隆街105巷","武隆街105巷",NA,NA,NA,NA
"KEE0934","0934","505","KEE093401","093401","505",0,11,"武隆街105巷","武隆街105巷",NA,NA,NA,NA
"KEE0935","0935","505","KEE093501","093501","505",0,11,"武隆街105巷","武隆街105巷",NA,NA,NA,NA
"KEE0936","0936","505","KEE093601","093601","505",0,11,"武隆街105巷","武隆街105巷",NA,NA,NA,NA
"KEE0937","0937","506","KEE093701","093701","506",0,11,"御花園社區","莫內花園社區",NA,NA,NA,NA
"KEE0938","0938","506","KEE093801","093801","506",0,11,"松竹梅社區","九如社區",NA,NA,NA,NA
"KEE0939","0939","508","KEE093901","093901","508",0,11,"大武崙沙灘停車場","公車總站",NA,NA,NA,NA
"KEE0939","0939","508","KEE0939A1","0939A1","508A",0,11,"大武崙沙灘停車場","公車總站",NA,NA,NA,NA
"KEE0941","0941","509","KEE094101","094101","509",0,11,"公車總站","公車總站",NA,NA,NA,NA
"KEE0941","0941","509","KEE0941A1","0941A1","509A",0,11,"公車總站","公車總站",NA,NA,NA,NA
"KEE0941","0941","509","KEE0941B1","0941B1","509B",0,11,"公車總站","公車總站",NA,NA,NA,NA
"KEE0944","0944","510","KEE094401","094401","510",0,11,"武隆街105巷","七堵火車站",NA,NA,NA,NA
"KEE0944","0944","510","KEE0944A1","0944A1","510A",0,11,"武隆街105巷","七堵火車站",NA,NA,NA,NA
"KEE0944","0944","510","KEE0944B1","0944B1","510B",0,11,"武隆街105巷","七堵火車站",NA,NA,NA,NA
